case,family,background,source_id,direction,method,smc_survived,found_cf,terminal_tv,ess_fraction,normalizer_relative_estimate,unique_cf,seconds,best_base_edit_regret,endpoint_mean_meets_gain,endpoint_all_replicates_positive,endpoint_all_replicates_meet_gain,endpoint_base_edits
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,rollout,1.0,1.0,0.20202090003372983,0.8037942556277089,0.8760662084552008,4.8125,0.00048375600000838404,0.0,1.0,0.27088927471870755,0.17426195471366118,17.062700973268534
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,learned,1.0,1.0,0.17386517510383317,0.9544735629144846,0.986266412846228,4.6875,0.002183431687470261,0.0,1.0,0.2985079737769777,0.16054180534726487,17.026794235460443
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,exact,1.0,1.0,0.17343012736907304,1.0,1.0,4.875,0.00026397081249740495,0.0,1.0,0.26953125,0.1484375,17.0703125
0aa8f64f48129d4a,"AHR,CTCF,HNF4A",2,seq_154702,-1,defensive_rollout,1.0,1.0,0.20532005893978267,0.8572162994740089,1.02152555544866,4.5,0.0005598143750091822,0.0,1.0,0.3113632791047073,0.19505428417413007,16.987166127545727
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,reference,1.0,1.0,0.15749920564240047,0.4367937175341065,1.0209607160064498,2.0,0.00027306731249154836,0.0,0.2951042661802601,0.2951042661802601,0.0,15.951042661802601
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,myopic,1.0,1.0,0.19637015030389893,0.2374036206998701,1.044555324518989,1.875,0.00025857518751593034,0.0,0.17250332403890392,0.17250332403890392,0.0,14.725033240389038
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,rollout,1.0,1.0,0.10356067422971826,0.7466388173540015,0.8957716773010431,2.0,0.0004810425625123571,0.0,0.194001116806297,0.194001116806297,0.0,14.94001116806297
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,learned,1.0,1.0,0.07788546981672596,0.9121200206929881,0.9656229793288926,2.0,0.002410570937499301,0.0,0.18885066323365168,0.18885066323365168,0.0,14.888506632336517
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,exact,1.0,1.0,0.07421875,1.0,1.0,2.0,0.0004714851874609849,0.0,0.22265625,0.22265625,0.0,15.2265625
0aa9c43f0254bd5c,"ONECUT1,XBP1,YY1",2,seq_136886,-1,defensive_rollout,1.0,1.0,0.10468347028058743,0.7100728196097903,0.9942234863978174,2.0,0.0005006929375497293,0.0,0.22831513067132464,0.22831513067132464,0.0,15.283151306713247
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,reference,1.0,1.0,4.163336342344337e-17,0.3178319454367993,0.9907354264428141,1.0,0.00027041456246479356,0.0,0.0,0.0,0.0,15.0
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,myopic,1.0,1.0,7.632783294297951e-17,0.3264646356367296,0.9005451662010833,1.0,0.00026845799999364317,0.0,0.0,0.0,0.0,15.0
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,rollout,1.0,1.0,5.204170427930421e-17,0.7564516207500827,0.6368494777614787,1.0,0.0004951030000057699,0.0,0.0,0.0,0.0,15.0
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,learned,1.0,1.0,5.898059818321144e-17,0.37310340512207796,1.1380023988360304,1.0,0.0018492306874833275,0.0,0.0,0.0,0.0,15.0
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,exact,1.0,1.0,0.0,1.0,1.0000000000000002,1.0,0.0002575726249745003,0.0,0.0,0.0,0.0,15.0
0ab9537928de8c2b,"FOXA1,HNF4A,REST",2,seq_178846,-1,defensive_rollout,1.0,1.0,2.7755575615628914e-17,0.6022411267658553,1.029401403505286,1.0,0.0005034621249961901,0.0,0.0,0.0,0.0,15.0
0ac297b04f21d8c9,"HNF4A,ONECUT1,RXRA",2,seq_158442,-1,reference,1.0,1.0,0.1159578482070932,0.40191188837141734,0.9243381026297531,2.0,0.0002858688125257913,0.0,1.0,1.0,0.7777300512072247,11.222699487927752
